,beat_pitch
13,"[[(1, 67), (3, 70), (4, 74), (5, 79), (7, 76), (8, 79), (9, 78), (10, 76), (11, 72), (12, 70)], [(1, 67), (2, 66), (3, 69), (4, 72), (5, 69), (7, 71), (9, 72), (10, 71), (11, 72), (12, 71)], [(1, 67), (3, 71), (4, 74), (5, 76), (7, 73), (9, 74), (11, 76), (12, 73)], [(1, 67), (3, 71), (4, 73), (5, 74), (7, 74), (8, 71), (9, 72), (11, 74)], [(1, 67), (3, 71), (4, 74), (5, 75), (6, 74), (7, 71), (8, 74), (9, 74)], [(1, 67), (2, 71), (3, 73), (4, 76), (5, 74), (6, 72), (7, 74), (8, 77), (9, 77), (11, 74), (12, 72)], [(1, 67), (2, 69), (3, 70), (5, 62), (6, 67), (7, 64), (9, 64), (11, 62), (12, 59)], [(1, 67), (2, 69), (3, 65), (4, 69), (5, 71), (6, 72), (7, 74), (8, 73), (9, 76), (11, 72), (12, 70)]]"
14,"[[(1, 62), (2, 66), (3, 67), (5, 72), (6, 76), (7, 72), (8, 71), (9, 69)], [(1, 62), (2, 65), (3, 69), (5, 69), (7, 69), (8, 65), (9, 67), (11, 71)], [(1, 62), (2, 67), (3, 69), (5, 71), (7, 79), (9, 71)], [(1, 62), (2, 77), (3, 74), (4, 76), (5, 81), (6, 71), (7, 73), (9, 69)], [(1, 62), (2, 67), (3, 71), (5, 71), (7, 67), (9, 66)], [(1, 62), (2, 60), (3, 62), (5, 62), (7, 78), (9, 78), (11, 81)], [(1, 62), (2, 64), (3, 65), (5, 69), (6, 71), (7, 72), (8, 74), (9, 76), (11, 79)], [(1, 62), (2, 64), (3, 69), (4, 71), (5, 67), (6, 69), (7, 71), (8, 74), (9, 72)]]"
15,"[[(1, 76), (2, 72), (3, 71), (4, 72), (5, 69), (7, 69), (8, 70), (9, 69), (11, 69)], [(1, 76), (2, 77), (3, 76), (5, 78), (7, 78), (8, 76), (9, 74), (11, 77), (12, 76)], [(1, 76), (3, 74), (5, 72), (7, 72), (9, 70), (11, 69), (12, 66)], [(1, 76), (3, 78), (4, 81), (5, 79), (6, 77), (7, 76), (9, 77), (11, 76), (12, 73)], [(1, 76), (2, 73), (3, 74), (4, 70), (5, 69), (7, 64), (9, 65), (11, 65), (12, 64)], [(1, 76), (3, 77), (4, 72), (5, 67), (7, 67), (9, 67), (11, 74), (12, 71)], [(1, 76), (2, 72), (3, 76), (4, 79), (5, 77), (7, 74), (8, 73), (9, 71), (11, 69), (12, 71)], [(1, 76), (3, 75), (4, 72), (5, 71), (7, 72), (8, 71), (9, 72)]]"
16,"[[(1, 74), (3, 78), (4, 80), (5, 79), (7, 78), (8, 76), (9, 81), (11, 79), (12, 74)], [(1, 74), (3, 72), (5, 72), (7, 76), (8, 80), (9, 80), (11, 76)], [(1, 74), (3, 72), (4, 69), (5, 74), (7, 76), (8, 79), (9, 72), (11, 72), (12, 71)], [(1, 74), (3, 74), (5, 73), (6, 74), (7, 73), (8, 71), (9, 69), (11, 71), (12, 69)], [(1, 74), (2, 77), (3, 75), (5, 75), (7, 74), (8, 72), (9, 72), (11, 74), (12, 72)], [(1, 74), (2, 76), (3, 74), (5, 75), (7, 67), (8, 69), (9, 67)], [(1, 74), (2, 72), (3, 70), (5, 69), (7, 71), (8, 72), (9, 71)], [(1, 74), (2, 72), (3, 71), (4, 69), (5, 72), (6, 74), (7, 72), (8, 70), (9, 68)]]"
17,"[[(1, 74), (4, 72), (5, 71), (7, 71), (8, 69), (9, 71)], [(1, 74), (4, 72), (5, 72), (7, 72), (8, 71), (9, 72), (11, 70), (12, 69)], [(1, 74), (2, 77), (3, 76), (4, 78), (5, 81), (6, 79), (7, 78), (8, 76), (9, 78), (11, 76), (12, 74)], [(1, 74), (2, 76), (3, 78), (4, 79), (5, 76), (6, 77), (7, 77), (9, 77), (11, 81)], [(1, 74), (3, 74), (5, 57), (6, 59), (7, 60), (9, 58), (11, 79)], [(1, 74), (5, 78), (6, 81), (7, 79), (9, 79), (11, 79)], [(1, 74), (5, 82), (6, 79), (7, 81), (9, 83)], [(1, 74), (5, 74), (7, 69), (9, 69)]]"
18,"[[(1, 70), (2, 69), (3, 68), (4, 71), (5, 72), (7, 71), (9, 74), (10, 72), (11, 71), (12, 74)], [(1, 70), (2, 69), (3, 71), (4, 72), (5, 76), (6, 72), (7, 76), (9, 74), (11, 70), (12, 74)], [(1, 70), (2, 67), (3, 69), (4, 65), (5, 62), (6, 67), (7, 69), (9, 69), (11, 69), (12, 71)], [(1, 70), (2, 72), (3, 71), (5, 69), (6, 73), (7, 71), (8, 74), (9, 71), (11, 67), (12, 66)], [(1, 70), (2, 65), (3, 69), (4, 71), (5, 72), (6, 71), (7, 69), (8, 72), (9, 77)], [(1, 70), (2, 69), (3, 79), (4, 78), (5, 81), (7, 81), (8, 79), (9, 79), (11, 74)], [(1, 70), (2, 69), (3, 71), (4, 74), (5, 71), (7, 71), (8, 68), (9, 69), (11, 72)], [(1, 70), (2, 69), (3, 70), (4, 69), (5, 71), (6, 67), (7, 64), (8, 65), (9, 70)]]"
19,"[[(1, 67), (3, 76), (4, 73), (5, 74), (7, 73), (8, 71), (9, 69)], [(1, 67), (3, 67), (5, 71), (6, 67), (7, 66), (8, 67), (9, 69)], [(1, 67), (2, 71), (3, 67), (4, 70), (5, 80), (6, 81), (7, 79), (8, 76), (9, 69)], [(1, 67), (2, 69), (3, 71), (5, 69), (7, 67), (8, 69), (9, 74)], [(1, 67), (2, 69), (3, 71), (4, 74), (5, 76), (6, 74), (7, 73), (8, 71), (9, 69)], [(1, 67), (2, 72), (3, 76), (4, 73), (5, 69), (7, 74), (9, 76)], [(1, 67), (2, 69), (3, 71), (4, 78), (5, 79), (6, 77), (7, 77), (9, 76), (11, 76)], [(1, 67), (2, 72), (3, 76), (4, 73), (5, 73), (7, 74), (9, 81), (11, 79), (12, 74)]]"
20,"[[(1, 77), (3, 79), (4, 76), (5, 78), (6, 79), (7, 77), (8, 79), (9, 76), (11, 73), (12, 69)], [(1, 77), (2, 76), (3, 74), (4, 77), (5, 79), (6, 77), (7, 74), (8, 70), (9, 72), (11, 74)], [(1, 77), (3, 70), (4, 74), (5, 76), (6, 74), (7, 76), (8, 80), (9, 76), (11, 79), (12, 78)], [(1, 77), (3, 77), (4, 74), (5, 74), (7, 74), (8, 76), (9, 74), (11, 76), (12, 79)], [(1, 77), (3, 77), (5, 76), (6, 73), (7, 71), (8, 72), (9, 73), (11, 69), (12, 67)], [(1, 77), (2, 76), (3, 77), (4, 76), (5, 77), (6, 79), (7, 82), (8, 79), (9, 77), (11, 76)], [(1, 77), (2, 76), (3, 73), (4, 64), (5, 62), (6, 66), (7, 67), (8, 70), (9, 72)], [(1, 77), (2, 76), (3, 77), (5, 77), (6, 75), (7, 72), (8, 70), (9, 74), (10, 76)]]"
21,"[[(1, 72), (2, 70), (3, 69), (5, 69), (7, 74), (8, 72), (9, 74), (10, 77)], [(1, 72), (3, 72), (5, 72), (7, 72), (8, 74), (9, 77), (10, 76)], [(1, 72), (2, 71), (3, 69), (4, 72), (5, 76), (7, 76), (8, 77), (9, 79), (10, 77)], [(1, 72), (2, 74), (3, 71), (4, 78), (5, 79), (9, 75), (10, 74)], [(1, 72), (2, 71), (3, 72), (4, 71), (5, 68), (7, 71), (9, 74), (10, 79)], [(1, 72), (2, 74), (3, 76), (4, 73), (5, 72), (7, 71), (9, 72), (10, 74), (11, 76), (12, 72)], [(1, 72), (2, 71), (3, 72), (4, 71), (5, 72), (6, 71), (7, 67), (9, 65), (11, 69), (12, 67)], [(1, 72), (2, 71), (3, 69), (4, 70), (5, 69), (9, 57), (11, 59), (12, 60)]]"
22,"[[(1, 72), (3, 76), (4, 72), (5, 74), (7, 69), (9, 69)], [(1, 72), (3, 72), (4, 71), (5, 73), (7, 76), (8, 73), (9, 69), (10, 67)], [(1, 72), (3, 76), (4, 71), (5, 72), (6, 76), (7, 77), (8, 72), (9, 69)], [(1, 72), (2, 71), (3, 74), (4, 76), (5, 77), (6, 81), (7, 76), (8, 74), (9, 73), (11, 69), (12, 67)], [(1, 72), (2, 71), (3, 73), (4, 71), (5, 74), (6, 72), (7, 67), (9, 66), (11, 67), (12, 64)], [(1, 72), (3, 71), (4, 72), (5, 71), (7, 79), (9, 77), (11, 76), (12, 78)], [(1, 72), (3, 74), (4, 71), (5, 79), (7, 78), (8, 76), (9, 74), (11, 71), (12, 69)], [(1, 72), (3, 71), (4, 69), (5, 70), (7, 69), (8, 72), (9, 69), (11, 72), (12, 70)]]"
23,"[[(1, 67), (2, 62), (3, 61), (4, 62), (5, 63), (6, 62), (7, 63), (8, 65), (9, 64), (12, 66)], [(1, 67), (2, 66), (3, 65), (4, 69), (5, 71), (6, 73), (7, 76), (9, 69), (11, 72), (12, 71)], [(1, 67), (2, 69), (3, 67), (4, 71), (5, 72), (6, 74), (7, 71), (9, 68)], [(1, 67), (2, 66), (3, 69), (4, 66), (5, 67), (7, 69), (8, 72), (9, 70)], [(1, 67), (2, 69), (3, 76), (4, 73), (5, 74), (7, 72), (8, 70), (9, 69)], [(1, 67), (3, 71), (4, 72), (5, 70), (7, 70), (8, 67), (9, 66)], [(1, 67), (2, 70), (3, 77), (5, 78), (7, 74), (8, 71), (9, 69)], [(1, 67), (3, 66), (4, 67), (5, 69), (7, 67), (8, 65), (9, 64)]]"
24,"[[(1, 73), (2, 74), (3, 72), (5, 72), (8, 70), (9, 72), (10, 71)], [(1, 73), (2, 74), (3, 74), (4, 71), (5, 62), (9, 64), (10, 65)], [(1, 73), (2, 71), (3, 67), (4, 66), (5, 67), (9, 66), (10, 67), (11, 71), (12, 74)], [(1, 73), (3, 71), (4, 74), (5, 76), (9, 73), (11, 72), (12, 55)], [(1, 73), (3, 72), (4, 71), (5, 69), (7, 69), (9, 65), (11, 62), (12, 61)], [(1, 73), (3, 76), (4, 79), (5, 81), (7, 79), (9, 79), (11, 76)], [(1, 73), (3, 71), (4, 74), (5, 79), (9, 83), (11, 81)], [(1, 73), (3, 71), (4, 74), (5, 75), (6, 79), (7, 76), (9, 78), (11, 81)]]"
25,"[[(1, 55), (3, 72), (4, 69), (5, 70), (7, 69), (8, 66), (9, 67), (11, 66), (12, 67)], [(1, 55), (3, 71), (4, 68), (5, 67), (7, 83), (8, 79), (9, 81), (11, 82), (12, 84)], [(1, 55), (3, 72), (4, 76), (5, 76), (7, 72), (8, 77), (9, 74), (11, 77), (12, 79)], [(1, 55), (3, 72), (4, 74), (5, 76), (7, 74), (8, 72), (9, 71), (11, 67), (12, 71)], [(1, 55), (3, 60), (5, 60), (7, 64), (8, 66), (9, 64), (11, 72), (12, 65)], [(1, 55), (3, 71), (5, 72), (7, 57), (8, 58), (9, 55), (11, 71), (12, 69)], [(1, 55), (3, 71), (4, 68), (5, 69), (7, 69), (8, 67), (9, 65), (11, 62)], [(1, 55), (3, 79), (4, 81), (5, 79), (7, 79), (8, 77), (9, 74), (10, 72), (11, 71)]]"
26,"[[(1, 67), (2, 65), (3, 64), (5, 64), (7, 64), (8, 67), (9, 71), (11, 69), (12, 67)], [(1, 67), (3, 67), (5, 71), (7, 74), (9, 76), (11, 72), (12, 69)], [(1, 67), (5, 66), (6, 69), (7, 71), (9, 72), (11, 74), (12, 77)], [(1, 67), (4, 69), (5, 70), (6, 74), (7, 73), (8, 76), (9, 78), (11, 76), (12, 72)], [(1, 67), (3, 66), (4, 64), (5, 62), (7, 61), (8, 59), (9, 57), (11, 59), (12, 60)], [(1, 67), (3, 66), (4, 67), (5, 66), (7, 74), (8, 72), (9, 71)], [(1, 67), (3, 71), (4, 70), (5, 74), (7, 76), (8, 77), (9, 70), (11, 82)], [(1, 67), (3, 67), (4, 71), (5, 69), (9, 69), (11, 71)]]"
27,"[[(1, 74), (3, 74), (5, 74), (6, 72), (7, 74), (9, 76), (11, 76), (12, 74)], [(1, 74), (3, 78), (4, 81), (5, 79), (7, 76), (9, 79), (11, 83), (12, 79)], [(1, 74), (3, 76), (4, 73), (5, 74), (6, 73), (7, 74), (8, 70), (9, 68), (11, 64), (12, 62)], [(1, 74), (2, 73), (3, 76), (4, 74), (5, 76), (7, 74), (8, 73), (9, 74), (11, 76), (12, 73)], [(1, 74), (3, 72), (5, 72), (7, 74), (8, 71), (9, 72), (11, 72), (12, 71)], [(1, 74), (3, 74), (4, 79), (5, 74), (7, 72), (8, 74), (9, 72), (11, 70)], [(1, 74), (3, 77), (5, 79), (7, 76), (8, 74), (9, 76)], [(1, 74), (3, 76), (5, 76), (7, 73), (8, 69), (9, 74)]]"
28,"[[(1, 67), (3, 71), (4, 69), (5, 70), (9, 69), (11, 67), (12, 64)], [(1, 67), (3, 71), (4, 72), (5, 69), (9, 57)], [(1, 67), (3, 70), (5, 74), (9, 62)], [(1, 67), (3, 71), (4, 73), (5, 76), (9, 79)], [(1, 67), (3, 76), (4, 75), (5, 76), (6, 72), (8, 70), (9, 72)], [(1, 67), (3, 69), (4, 68), (5, 69), (6, 67), (7, 71), (8, 74), (9, 77), (11, 79)], [(1, 67), (3, 76), (4, 78), (5, 74), (7, 73), (8, 71), (9, 73), (10, 74), (11, 72), (12, 57)], [(1, 67), (3, 70), (4, 72), (5, 72), (6, 74), (7, 76), (8, 77), (9, 72), (11, 72), (12, 74)]]"
29,"[[(1, 66), (2, 67), (3, 65), (4, 64), (5, 69), (6, 67), (7, 70), (8, 72), (9, 70), (11, 67)], [(1, 66), (2, 67), (3, 69), (4, 70), (5, 69), (6, 71), (7, 69), (9, 69)], [(1, 66), (2, 67), (3, 66), (4, 67), (5, 69), (7, 74), (8, 73), (9, 69)], [(1, 66), (3, 64), (4, 62), (5, 69), (7, 69), (8, 72), (9, 71), (12, 69)], [(1, 66), (2, 62), (3, 67), (4, 69), (5, 70), (7, 62), (8, 63), (9, 67), (11, 67), (12, 63)], [(1, 66), (2, 62), (3, 64), (4, 65), (5, 67), (9, 55), (11, 71)], [(1, 66), (2, 62), (3, 67), (4, 65), (5, 67), (7, 69), (8, 72), (9, 72), (11, 75)], [(1, 66), (3, 81), (4, 83), (5, 81), (7, 77), (8, 79), (9, 81), (11, 81), (12, 79)]]"
30,"[[(1, 65), (2, 67), (3, 69), (5, 69), (7, 81), (9, 69), (11, 67)], [(1, 65), (2, 64), (3, 65), (5, 70), (7, 72), (9, 72), (11, 71), (12, 67)], [(1, 65), (3, 69), (5, 67), (7, 65), (8, 63), (9, 62), (11, 77), (12, 81)], [(1, 65), (2, 70), (3, 77), (4, 76), (5, 73), (7, 76), (8, 79), (9, 77), (11, 77), (12, 86)], [(1, 65), (4, 67), (5, 76), (7, 78), (8, 74), (9, 73), (11, 69), (12, 66)], [(1, 65), (3, 69), (5, 65), (7, 60), (8, 64), (9, 64), (11, 64), (12, 62)], [(1, 65), (3, 65), (4, 64), (5, 66), (7, 69), (8, 71), (9, 69), (11, 78)], [(1, 65), (3, 69), (4, 71), (5, 69), (7, 71), (8, 67), (9, 69), (10, 69), (11, 72)]]"
31,"[[(1, 76), (3, 76), (4, 77), (5, 79), (7, 76), (8, 73), (9, 69), (10, 72), (11, 71)], [(1, 76), (3, 74), (4, 72), (5, 74), (7, 76), (8, 74), (9, 76), (11, 79), (12, 81)], [(1, 76), (2, 74), (3, 72), (4, 71), (5, 73), (7, 76), (8, 73), (9, 74), (11, 78), (12, 81)], [(1, 76), (2, 81), (3, 79), (4, 82), (5, 81), (7, 78), (9, 76), (11, 73), (12, 69)], [(1, 76), (2, 74), (3, 76), (4, 72), (5, 71), (7, 69), (8, 65), (9, 62)], [(1, 76), (3, 77), (4, 81), (5, 79), (7, 78), (8, 76), (9, 74), (10, 73)], [(1, 76), (3, 73), (4, 74), (5, 76), (7, 78), (8, 76), (9, 77)], [(1, 76), (3, 72), (4, 69), (5, 69), (7, 73), (8, 71), (9, 67), (11, 69), (12, 67)]]"
32,"[[(1, 72), (2, 71), (3, 73), (5, 69), (9, 57)], [(1, 72), (2, 71), (3, 69), (4, 68), (5, 69), (9, 69), (10, 67)], [(1, 72), (3, 72), (4, 75), (5, 74), (9, 72), (10, 70)], [(1, 72), (3, 71), (4, 75), (5, 82), (6, 77), (7, 76), (9, 81), (10, 78)], [(1, 72), (4, 76), (5, 77), (6, 81), (7, 79), (8, 75), (9, 74), (10, 73)], [(1, 72), (4, 82), (5, 81), (6, 77), (7, 76), (8, 72), (9, 74), (11, 74)], [(1, 72), (4, 76), (5, 74), (7, 74), (8, 75), (9, 74)], [(1, 72), (2, 74), (3, 76), (4, 77), (5, 79), (7, 76), (8, 73), (9, 74)]]"
